地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
[' 日本'],['立川让'],['2018'],['110'],"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '林原惠美', '绪方贤一', '岩居由希子', '高木涉', '大谷育江', '松井菜樱子', '榎本充希子', '高岛雅罗', '百百麻子', '岸野幸正', '飞田展男', '茶风林', '井上和彦', '汤屋敦子', '千叶一伸', '富永美伊奈', '川岛得爱', '浦山迅', '中友子', '私市淳', '志村知幸', '鸟海胜美', '冈村明美', '西前忠久', '利根健太朗', '庄司宇芽香', '川原庆久', '安村直树', '诸国沙代子', '博多大吉', '上户彩', '古谷彻']",['名侦探柯南：零的执行人 名探偵コナン ゼロの執行人'],"['动画', '悬疑']",['5.8'],['77040'],[' 日语']
[' 美国'],['约翰·卡拉辛斯基'],['2018'],['90'],"['艾米莉·布朗特', '约翰·卡拉辛斯基', '米利森特·西蒙兹', '诺亚·尤佩', '凯德·伍德沃德', '里昂·拉瑟姆', '桃乐丝·麦卡锡']",['寂静之地 A Quiet Place'],"['惊悚', '恐怖']",['6.3'],['198949'],[' 美国手语 / 英语']
[' 美国'],['盖瑞·罗斯'],['2018'],['110'],"['桑德拉·布洛克', '凯特·布兰切特', '安妮·海瑟薇', '海伦娜·伯翰·卡特', '蕾哈娜', '莎拉·保罗森', '敏迪·卡灵', '奥卡菲娜', '詹姆斯·柯登', '理查德·阿米蒂奇', '格里芬·邓恩', '迪德尔·古德温', '丹尼埃拉·拉贝尼', '埃利奥特·古尔德', '夏洛特·柯克', '达科塔·范宁', '理查德·罗比查乌克斯', '达米安·杨', '戈登·格里克', '凯特琳·梅纳', '詹姆斯·比贝里', '香农·弗雷尔', '康纳尔·多诺万', '凯文·布朗', '马尔洛·托马斯', '丹娜·爱薇', '玛丽·路易丝·威尔逊', '伊丽莎白·阿什利', '凯蒂·霍尔姆斯', '肯多尔·詹纳', '凯莉·詹娜', '金·卡戴珊']",['瞒天过海：美人计 Ocean&#39;s Eight'],"['喜剧', '犯罪']",['6.7'],['156709'],[' 英语 / 印地语 / 法语 / 德语 / 汉语普通话']
[' 中国大陆'],['包贝尔'],['2018'],['108'],"['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子', '许君聪', '曾一竣', '张梦露', '戚玉武', '仓田保昭', '木幡龙', '宋佳', '文隽']",['胖子行动队'],"['喜剧', '动作']",['4.2'],['56569'],[' 汉语普通话']
[' 美国'],['罗阿尔·乌索格'],['2018'],['118'],"['艾丽西亚·维坎德', '多米尼克·威斯特', '沃尔顿·戈金斯', '吴彦祖', '克里斯汀·斯科特·托马斯', '汉娜·乔恩-卡门', '尼克·弗罗斯特', '德里克·雅各比', '安东尼奥·阿克儿', '亚历山大·维尧姆', '杰美·温斯顿', '迈克尔·奥拜奥拉', '艾米丽·凯里', '肯尼思·霍']",['古墓丽影：源起之战 Tomb Raider'],"['动作', '冒险']",['6.0'],['118909'],[' 英语']
[' 美国'],"['拉斯·霍尔斯道姆', '乔·庄斯顿']",['2018'],['99'],"['麦肯吉·弗依', '摩根·弗里曼', '凯拉·奈特莉', '马修·麦克费登', '海伦·米伦', '艾丽·巴姆博', '米兰达·哈特', '欧赫尼奥·德尔维斯', '杰克·怀特霍尔', '理查德·E·格兰特', '谢尔盖·波卢宁', '欧米德·吉亚李利', '梅拉·沙尔', '尼克·穆罕默德', '杰茜·维宁', '汤姆·斯威特', '马里安·洛伦西克', '芙洛·费拉科', '丽塔-麦克唐纳丹帕', '查尔斯·斯特里特']",['胡桃夹子和四个王国 The Nutcracker And The Four Realms'],"['奇幻', '冒险']",['6.0'],['52350'],[' 英语']
[' 美国'],['布拉德·佩顿'],['2018'],['107'],"['道恩·强森', '娜奥米·哈里斯', '杰弗里·迪恩·摩根', '玛琳·阿克曼', '杰克·莱西', '乔·曼根尼罗', '玛丽·谢尔顿', 'P·J·伯恩', '德米垂斯·格罗斯', '杰克·奎德', '布里安·希尔', '马特·杰拉德', '李威尹', '尤里亚·费伯', '布鲁斯·布莱克希尔', '杰森·莱尔斯', '马克·威尔斯', '阿莉莎·布鲁克', '亚当·希泰凯尔', '加里·维克斯', '阿诺德·陈']",['狂暴巨兽 Rampage'],"['动作', '科幻', '冒险']",['6.4'],['116255'],[' 英语']
[' 中国大陆 / 法国'],['毕赣'],['2018'],['138'],"['汤唯', '黄觉', '张艾嘉', '李鸿其', '陈永忠', '罗飞扬', '曾美慧孜', '段钧豪', '谢理循', '齐溪', '明道', '龙泽治']",['地球最后的夜晚'],"['剧情', '爱情', '悬疑']",['6.8'],['153652'],[' 贵州方言 / 汉语普通话']
[' 日本'],['福泽克雄'],['2018'],['119'],"['阿部宽', '松岛菜菜子', '沟端淳平', '田中丽奈', '木村绿子', '乌丸节子', '春风亭升太', '音尾琢真', '饭丰万理江', '上杉祥三', '中岛博子', '樱田日和', '及川光博', '伊藤兰', '小日向文世', '山崎努', '香川照之', '杏']",['祈祷落幕时 祈りの幕が下りる時'],"['剧情', '悬疑']",['8.0'],['92836'],[' 日语']
[' 中国大陆'],['万玛才旦'],['2018'],['87'],"['金巴', '更登彭措', '索朗旺姆']",['撞死了一只羊'],['剧情'],['7.2'],['25952'],[' 藏语']
[' 意大利'],['斯蒂法诺·摩尔蒂尼'],['2018'],['102'],"['里卡多·斯卡马乔', '米莱姆·里昂', '马丽娅·派雅托', '法布里齐奥·本蒂沃利奥', '萨拉·卡迪纳莱蒂', '尼古拉·潘内利', '塞尔吉奥·罗马诺', '阿斯卡尼奥·巴尔博', '保罗·桑博', '杰拉尔多·德布拉西奥', '亚历山德拉·卡里略']",['看不见的客人(意大利版) Il testimone invisibile'],"['剧情', '悬疑', '惊悚', '犯罪']",['9.0'],['3456'],[' 意大利语']
[' 中国大陆'],['刘阔'],['2018'],['105'],"['路知行', '阎萌萌', '褚珺', '边江', '山新', '郭政建', '张震', '苗壮', '王冠南', '张博恒', '惠龙', '王凯', '苏俣', '白雪岑', '赵述仁', '刘梓乾', '王思琦', '刘美奂']",['风语咒'],"['动画', '奇幻']",['6.9'],['94652'],[' 汉语普通话']
[' 澳大利亚 / 美国 / 印度'],['安东尼·马拉斯'],['2018'],['123'],"['艾米·汉莫', '纳赞宁·波妮阿蒂', '戴夫·帕特尔', '詹森·艾萨克', '阿努潘·凯尔', '刘承羽', '安格斯·麦克拉伦', '萨钦·乔伯', '蒂尔达·格哈姆-哈维', '维品·沙尔马', '阿布罗伊·辛格', '迪维亚·阿妮', '桑迪普·博雅卡', '齐尼亚·斯塔尔']",['孟买酒店 Hotel Mumbai'],"['剧情', '惊悚', '历史']",['8.4'],['18445'],[' 英语 / 印地语 / 旁遮普语 / 希腊语 / 俄语 / 阿拉伯语 / 乌尔都语 / 波斯语']
[' 美国'],['斯蒂芬·思科'],['2018'],['92'],"['科林·伍德尔', '斯蒂芬妮·诺格拉斯', '瑞贝卡·瑞滕豪斯', '安德鲁斯·李斯', '贝蒂·加布里埃尔', '康纳·戴尔·里奥', '萨维拉·温蒂亚尼', '切尔西·阿尔登', '道格拉斯·泰特', '阿什顿·斯迈利', '阿历萨·芒索']",['解除好友2：暗网 Unfriended: Dark Web'],"['恐怖', '犯罪']",['7.9'],['108547'],[' 英语']
[' 美国'],['韦斯·鲍尔'],['2018'],['142'],"['迪伦·奥布莱恩', '卡雅·斯考达里奥', '李起弘', '托马斯·布罗迪-桑斯特', '罗莎·萨拉查', '德克斯特·达登', '艾丹·吉伦', '威尔·保尔特', '吉安卡罗·埃斯波西托', '沃尔顿·戈金斯', '派翠西娅·克拉克森', '巴里·佩珀']",['移动迷宫3：死亡解药 Maze Runner: The Death Cure'],"['动作', '科幻', '冒险']",['5.3'],['62345'],[' 英语']
[' 美国'],['布莱德利·库珀'],['2018'],['135'],"['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']",['一个明星的诞生 A Star Is Born'],"['剧情', '爱情', '音乐']",['7.2'],['71528'],[' 英语']
[' 中国大陆'],['奚超'],['2018'],['82'],"['苏尚卿', '王一博', '段艺璇', '马斑马', '林强']",['昨日青空'],"['爱情', '动画']",['6.1'],['44665'],[' 汉语普通话']
[' 中国大陆'],['肖央'],['2018'],['104'],"['肖央', '杜鹃', '常远', '小沈阳', '岳云鹏', '王小利', '衣云鹤', '蔡明']",['天气预爆'],"['喜剧', '奇幻']",['3.8'],['53593'],[' 汉语普通话']
[' 日本'],['长峰达也'],['2018'],['100'],"['野泽雅子', '堀川亮', '中尾隆圣', '岛田敏', '古川登志夫', '久川绫', '山寺宏一', '森田成一', '水树奈奈', '杉田智和', '宝龟克寿']",['龙珠超：布罗利 ドラゴンボール超 ブロリー'],"['动作', '动画', '奇幻', '冒险']",['7.4'],['24393'],[' 日语']
[' 美国'],['格恩迪·塔塔科夫斯基'],['2018'],['98'],"['亚当·桑德勒', '凯瑟琳·哈恩', '史蒂夫·布西密', '赛琳娜·戈麦斯', '阿什·布林克夫', '梅尔·布鲁克斯', '科甘-迈克尔·凯', '安迪·萨姆伯格', '法兰·德瑞雪', '大卫·斯佩德', '凯文·詹姆斯', '莫莉·香侬', '格恩迪·塔塔科夫斯基', '乔·怀特', '克莉丝汀·泰根', '乔·乔纳斯', '吉姆·加菲根']",['精灵旅社3：疯狂假期 Hotel Transylvania 3: Summer Vacation'],"['喜剧', '动画', '奇幻']",['6.7'],['79237'],[' 英语']
[' 中国大陆'],['李昕芸'],['2018'],['93'],"['王千源', '袁姗姗', '刘桦', '周游', '周云鹏', '张锦程', '沈腾']",['龙虾刑警'],"['喜剧', '动作', '犯罪']",['4.9'],['47169'],[' 汉语普通话']
[' 美国 / 德国'],['韦斯·安德森'],['2018'],['97'],"['布莱恩·科兰斯顿', '爱德华·诺顿', '科宇·兰金', '列维·施瑞博尔', '比尔·默瑞', '杰夫·高布伦', '鲍勃·巴拉班', '野村训市', '格蕾塔·葛韦格', '斯嘉丽·约翰逊', '蒂尔达·斯文顿', '弗兰西斯·麦克多蒙德', '罗曼·科波拉', '卡拉·海沃德', '高山明', '伊藤晃', '哈威·凯特尔', 'F·默里·亚伯拉罕', '小野洋子', '渡边谦', '夏木真理', '费舍·史蒂芬斯', '村上虹郎', '考特尼·万斯', '安杰丽卡·休斯顿', '野田洋次郎', '山田孝之', '秋元梢', '松田翔太', '松田龙平', '池田依来沙', '杰克·莱恩', '育乃介', '儿玉太智', '卡琳·奥克索', '弗兰克·伍德', '爱德华·博奇']",['犬之岛 Isle of Dogs'],"['喜剧', '动画', '冒险']",['8.3'],['165439'],[' 英语 / 日语']
[' 日本'],"['大森贵弘', '伊藤秀树']",['2018'],['104'],"['神谷浩史', '井上和彦', '高良健吾', '小林沙苗', '泽城美雪', '石田彰', '藤村步', '村濑步', '伊藤美纪', '伊藤荣次', '堀江一真', '佐藤利奈', '木村良平', '菅沼久义', '雪野五月', '川澄绫子', '樋口晓里', '冈村明美', '黑田崇矢', '长岛雄一', '松山鹰志', '下崎纮史', '知桐京子', '岛本须美']",['夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～'],"['剧情', '动画', '奇幻']",['8.0'],['70119'],[' 日语']
[' 台湾'],"['徐誉庭', '许智彦']",['2018'],['100'],"['邱泽', '谢盈萱', '陈如山', '黄圣球', '周洺甫', '梁正群', '杨丽音', '安哲', '高隽雅', '吴定谦', '禾语辰', '钟欣凌', '万芳', '高爱伦']",['谁先爱上他的 誰先愛上他的'],"['剧情', '喜剧', '同性']",['8.6'],['167424'],[' 汉语普通话']
[' 中国大陆'],['郭德纲'],['2018'],['95'],"['岳云鹏', '吴京', '吴秀波', '井柏然', '林志玲', '王宝强', '大鹏', '吴君如', '李晨', '杜淳', '郑恺', '欧弟', '张国立', '贾乃亮', '张俪', '马苏', '萧敬腾', '汪东城', '于谦', '黄磊', '吴樾', '孙艺洲', '贾玲', '谢依霖', '孟非', '郭麒麟', '谢楠', '王小利', '张晨光', '刘蓓', '孙越']",['祖宗十九代'],"['喜剧', '奇幻']",['4.2'],['78624'],[' 汉语普通话']
[' 日本'],['牛岛新一郎'],['2018'],['108'],"['高杉真宙', 'Lynn', '藤井雪代', '内田雄马', '福岛润', '田中敦子', '三木真一郎']",['我想吃掉你的胰脏 君の膵臓をたべたい'],"['爱情', '动画']",['6.9'],['35471'],[' 日语']
[' 印度'],['R·巴尔基'],['2018'],['140'],"['阿克谢·库玛尔', '拉迪卡·艾普特', '索娜姆·卡普尔', '乔蒂·苏巴', '森尔·辛', '阿米达普·巴强', '雷·拉维']",['印度合伙人 Padman'],"['剧情', '喜剧', '传记']",['7.7'],['57153'],[' 印地语']
[' 美国'],['朱浩伟'],['2018'],['121'],"['吴恬敏', '亨利·戈尔丁', '杨紫琼', '嘉玛·陈', '奥卡菲娜', '卢燕', '岑勇康', '郑肯', '水野索诺娅', '吴育刚', '欧阳万成', '钱信伊', '瑞米·海依', '尼科·桑托斯', '陆思敬', '苏慧敏', '方展发', '谢宛谕', '维多利亚·洛克', '许优美', '郑花如', '许静雯', '卡尔文·王', '陈琼华', '刘佳镁', '陈美廪', '内万·科伊特', '阿曼达·埃文斯', '彼得·霍奇森', '安德斯·塔格', '丹尼尔·詹金斯', '彼得·卡罗尔', '黛博拉·杨', '查尔斯·格朗斯', '杰西卡·加莱蒂', 'Swee Huat Teo', '罗尼·纪', 'Isaac Boon Chuon Lee', '罗杰·谢克', 'Lee Zhi Jian', 'Lee Jun Wen', '拉塞尔·黄', '马尔库斯·莫', '杰瑞卡·黎', '乔·翁', '陈胤希', '德尔菲诺润二', 'Beatrice Chein', 'Tan En Yu', 'Tan En Dong', '姬丝·阿奎诺', 'Lucinda Lew', '黄苏珊', 'Tumurbaatar Enkhtungalag', '木下众平', '吉娜·格莱尼斯', '凯文·关', '斯蒂芬妮·欧阳', 'Leong Chun Chong', 'Ho Yan Xi', '兰斯·埃明格', '卡兰比尔·亨达尔', '斯蒂芬·杰克', '纪宝珠']",['摘金奇缘 Crazy Rich Asians'],"['喜剧', '爱情']",['6.1'],['77606'],[' 英语 / 汉语普通话 / 粤语']
[' 美国'],['格里格·伯兰蒂'],['2018'],['110'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['爱情', '同性']",['8.3'],['131808'],[' 英语']
[' 中国大陆'],['巨兴茂'],['2018'],['111'],"['于毅', '何花', '王瑞昌', '岳丽娜', '倪虹洁', '巨兴茂', '鲁佳妮']",['灵魂摆渡·黄泉'],"['悬疑', '惊悚', '奇幻']",['7.1'],['73359'],[' 汉语普通话']
[' 德国 / 意大利'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],['2018'],['189'],"['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']",['无主之作 Werk ohne Autor'],['剧情'],['8.6'],['21307'],[' 德语 / 俄语']
[' 韩国'],['李沧东'],['2018'],['148'],"['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍']",['燃烧 버닝'],"['剧情', '悬疑']",['7.9'],['154403'],[' 韩语']
[' 中国大陆'],['吴有音'],['2018'],['117'],"['赵又廷', '杨子姗']",['南极之恋'],"['爱情', '冒险']",['6.7'],['79967'],[' 汉语普通话']
[' 中国大陆'],['胡波'],['2018'],['234'],"['彭昱畅', '章宇', '王玉雯', '李从喜', '董向荣', '王柠', '赵燕国彰', '朱颜曼滋', '凌正辉', '王超北', '王雪洋']",['大象席地而坐'],['剧情'],['8.0'],['78224'],[' 汉语普通话']
[' 美国 / 英国 / 澳大利亚'],['威尔·古勒'],['2018'],['95'],"['詹姆斯·柯登', '多姆纳尔·格里森', '萝丝·拜恩', '伊丽莎白·德比茨基', '玛格特·罗比', '黛西·雷德利', '科林·穆迪', '山姆·尼尔', '希雅', '伊文·莱斯利', '费萨尔·巴齐', '克里斯蒂安·加扎尔', '玛丽安娜·琼-巴普蒂斯特', '加雷斯·戴维斯', '山姆·哈夫特', '萨莎·霍勒', '娜塔丽·朱', '特伦尼娅·爱德华兹', '费利克斯·威廉森', '许明珠', '布莱恩·布朗', '蕾切尔·沃德', '大卫·文翰', '威尔·赖歇尔特']",['比得兔 Peter Rabbit'],"['喜剧', '动画', '冒险']",['7.1'],['68646'],[' 英语']
[' 美国'],['韦恩·罗伯茨'],['2018'],['90'],"['约翰尼·德普', '佐伊·达奇', '罗丝玛丽·德薇特', '朗·里维斯顿', '贾斯汀·沃林顿 ', '丹尼·赫斯顿', '希芳·法隆', '帕洛玛·克维亚特科夫斯基', '奥黛莎·杨', '凯特琳·伯纳德', '法拉赫·阿维瓦', '琳达·伊蒙', '基斯·麦克科基尼', '德文·特雷尔', '丹尼斯·科贝特', '约兰达·科贝特', '马德里亚·斯卡尔韦纳']",['教授 The Professor'],"['剧情', '喜剧']",['7.6'],['4803'],[' 英语']
[' 印度'],['西达夫·马贺拉'],['2018'],['120'],"['拉妮·玛克赫吉', '内拉吉·卡比', '萨钦', '苏普丽雅·皮尔加卡尔', '罗特·萨拉夫', '维克拉姆·戈克哈尔', '雷伊·舒克拉', '阿西夫·巴斯拉', '加纳特·拉玛妮', '侯赛因·达拉尔', '伊万·罗德里格斯', '坤纳·斯内德', '哈许‧梅尔', '什库马尔·苏布拉马尼亚姆']",['嗝嗝老师 Hichki'],"['剧情', '喜剧']",['7.5'],['51499'],[' 印地语 / 英语']
[' 美国'],['克林特·伊斯特伍德'],['2018'],['116'],"['克林特·伊斯特伍德', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz', 'Jackie Prucha', '理查德·赫德', 'Adam Drescher', 'Christi McClintock', 'Keith Flippen', '艾莉森·伊斯特伍德', '黛安·韦斯特', '乔·奈泽维奇', '泰莎·法米加', '维克多·罗塞克', '罗伯特·拉萨多', '劳伦斯·菲什伯恩', '布莱德利·库珀', '迈克尔·佩纳', '尤金·科德罗', '诺尔·古格雷米', '安迪·加西亚', '小克利夫顿·克林斯', '丹尼尔·蒙卡达', '伊格纳西奥·塞利齐奥', '保罗·阿拉约', '卡里姆·J.格里梅斯', '迭戈·卡塔诺', '迪伦·库斯曼', '皮特·布里斯', '劳恩·迪恩', '曼尼·蒙塔纳', '洛博·塞巴斯蒂安', '泰丝·马里斯·金凯德', '贝琪·阿尔特林格', '蒂莫西·卡尔', '吉尔·弗林特', '凯蒂·吉尔', '杰伦·戈登', '杰伊·古铁雷斯', '塞西尔·M·亨利', '雷·埃尔南德斯', '肖恩·麦克米伦', '德文·奥格登', '帕蒂·舍尔哈斯']",['骡子 The Mule'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.1'],['25794'],[' 英语']
[' 美国 / 加拿大'],['沙恩·布莱克'],['2018'],['107'],"['波伊德·霍布鲁克', '崔凡特·罗兹', '雅各布·特伦布莱', '科甘-迈克尔·凯', '奥立薇娅·玛恩', '斯特林·K·布朗', '托马斯·简', '阿尔菲·艾伦', '奥古斯托·阿奎莱拉', '杰克·布塞', '伊冯娜·斯特拉霍夫斯基', '布赖恩·A·普林斯', '麦克·多普德', '尼尔迈特', '加里·切克', '艾米·阿内克', '弗雷泽·艾奇逊', '简·波斯', '洛奇林·莫罗', '叶芳华', '里斯·威廉姆斯', '萨奇·布洛克勒班克', '肖恩·O.罗伯茨', '柯林·科里根', '帕特里克·萨邦圭', '弗雷泽·科比特', '阿隆·克拉文', '安德鲁·詹金斯']",['铁血战士 The Predator'],"['动作', '科幻', '惊悚', '冒险']",['4.9'],['40635'],[' 英语 / 西班牙语']
[' 墨西哥 / 美国'],['阿方索·卡隆'],['2018'],['135'],"['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']",['罗马 Roma'],"['剧情', '家庭']",['8.2'],['77050'],[' 西班牙语 / 米斯特克语 / 英语']
[' 韩国'],['郑凡植'],['2018'],['94'],"['魏河俊', '朴智炫', '吴雅妍', '文艺媛', '朴成勋', '刘帝允', '李丞旭']",['昆池岩 곤지암'],['恐怖'],['6.1'],['114294'],[' 韩语']
[' 中国大陆'],['何念'],['2018'],['96'],"['郭京飞', '迪丽热巴', '大鹏', '包贝尔', '刘芮麟', '王厂长', '张钟仪', '榕榕', '张杨智子']",['21克拉'],"['喜剧', '爱情']",['4.6'],['42263'],[' 汉语普通话']
[' 匈牙利'],['米洛拉德·科斯蒂奇'],['2018'],['94'],"['伊万·卡马拉斯', '加布里瑞拉·哈默里', '佐兰·马克兰兹', '乔鲍·马顿', '保罗‧贝兰托尼', '马特·戴维尔', '卡塔琳‧东比', '亨利‧格兰特', '彼得·林卡', '马泰‧梅萨罗什', '加博尔·纳吉帕尔', '维吉尼亚‧普罗德']","['盗梦特攻队 Ruben Brandt, a gyüjtö']","['动画', '犯罪']",['8.4'],['17131'],[' 英语 / 匈牙利语']
[' 韩国'],['尹钟彬'],['2018'],['137'],"['黄政民', '李星民', '赵震雄', '朱智勋']",['特工 공작'],['剧情'],['8.5'],['80696'],[' 韩语 / 汉语普通话 / 日语']
[' 中国大陆 / 英国'],['马楚成'],['2018'],['100'],"['梁朝伟', '吴亦凡', '唐嫣', '杜鹃', '林子祥', '华栖龙', '雅各布 格拉夫', '元秋', '刘家勇', '罗莽', '谢婷婷', '周小飞', '林德信', '陈语安', '黎烈弓', '杰佳·亚宁']",['欧洲攻略'],"['喜剧', '动作', '爱情']",['3.5'],['50694'],[' 粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语']
[' 韩国'],['金容华'],['2018'],['142'],"['河正宇', '朱智勋', '马东锡', '金香起', '李政宰', '赵汉哲', '金明坤 ', '金东旭', '郑惟安', '都暻秀']",['与神同行2：因与缘 신과함께-인과 연'],"['动作', '奇幻']",['7.5'],['59050'],[' 韩语']
[' 韩国'],['朴勋政'],['2018'],['125'],"['金多美', '赵敏修', '朴熙顺', '崔宇植', '高敏诗', '吴美姬', '崔政宇', '多恩', '金秉玉', '李柱元', '金河娜', '李基英', '权泰元', '李时勋 ', '白承哲', '袁民奎', '金宗勋', '徐翰洁']",['魔女 마녀'],"['动作', '悬疑']",['7.3'],['22420'],[' 韩语']
[' 意大利 / 瑞士 / 法国 / 德国'],['阿莉切·罗尔瓦赫尔'],['2018'],['127'],"['阿德里亚诺·塔尔迪奥洛', '阿涅塞·格拉齐亚尼', '卢卡·奇科瓦尼', '阿尔巴·罗尔瓦赫尔', '塞尔希·洛佩斯', '纳塔利诺·巴拉索', '托马索·拉尼奥', '尼可莱塔·布拉斯基', '达里亚·帕斯卡·阿托利尼', '达维德·登奇', '帕斯夸丽纳·斯昆恰']",['幸福的拉扎罗 Lazzaro felice'],"['剧情', '奇幻']",['8.6'],['58828'],[' 意大利语']
[' 韩国'],['崔国熙'],['2018'],['114'],"['金惠秀', '刘亚仁', '许峻豪', '赵宇镇', '文森特·卡索']",['国家破产之日 국가부도의 날'],['剧情'],['7.5'],['22712'],[' 韩语']
[' 日本'],['月川翔'],['2018'],['105'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.1'],['7755'],[' 日语']
[' 中国大陆 / 香港'],['袁和平'],['2018'],['107'],"['张晋', '戴夫·巴蒂斯塔', '柳岩', '杨紫琼', '托尼·贾', '郑嘉颖', '周秀娜', '谭耀文', '释彦能', '姜皓文', '栢天男', '元华']",['叶问外传：张天志 葉問外傳：張天志'],"['剧情', '动作', '犯罪']",['5.6'],['30968'],[' 汉语普通话 / 粤语']
[' 美国 / 新西兰'],['克里斯蒂安·瑞沃斯'],['2018'],['128'],"['海拉·西尔玛', '雨果·维文', '金吉', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安佑森', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['掠食城市 Mortal Engines'],"['动作', '科幻', '冒险']",['6.4'],['39785'],[' 英语']
[' 美国 / 英国'],['佐米·希尔拉'],['2018'],['105'],"['连姆·尼森', '维拉·法米加', '帕特里克·威尔森', '乔纳森·班克斯', '山姆·尼尔', '伊丽莎白·麦戈文', '基连·斯科特', '沙扎德·拉蒂夫', '安迪·尼曼', '克拉拉·拉戈', '罗兰·默勒', '弗洛伦斯·皮尤', '迪恩·查尔斯·查普曼', '埃拉-雷·史密斯', '妮拉·阿利亚', '柯林·麦克法兰', '寇布勒·霍尔德布鲁克-史密斯', '亚当·那加提斯', '金斯利·本-阿德', '戴姆森·伊德瑞斯', '本·卡普兰', '利蒂希娅·赖特', '杰米·比米什']",['通勤营救 The Commuter'],"['动作', '惊悚', '犯罪']",['6.6'],['50446'],[' 英语']
