地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
[' 日本'],['冲田修一'],['2018'],['99'],"['山崎努', '树木希林', '加濑亮', '吉村界人', '光石研', '青木崇高', '吹越满']",['有熊谷守一在的地方 モリのいる場所'],['剧情'],['8.3'],['10440'],[' 日语']
[' 中国大陆'],['章明'],['2018'],['110'],"['王学兵', '刘丹', '曾美慧孜', '易平', '易大千', '李心然', '母其弥雅']",['冥王星时刻'],['剧情'],['6.5'],['10589'],[' 汉语普通话']
[' 美国'],['杰伊·卡拉斯'],['2018'],['64'],['黄阿丽'],['黄阿丽：铁娘子 Ali Wong: Hard Knock Wife'],"['喜剧', '脱口秀']",['8.2'],['7035'],[' 英语']
[' 丹麦'],['古斯塔夫·莫勒'],['2018'],['85'],"['雅各布·克德格恩', '杰西卡·迪内奇', '奥玛尔·沙加威', '约翰·奥尔森', '雅各布·乌尔里克·罗曼', '西蒙·本尼杰格', '劳拉·布罗', '蒙坦·瑟贝尔', '莫滕·桑博', '安德斯·布林克·马德森', '马特·福勒']",['罪人 Den skyldige'],"['剧情', '惊悚', '犯罪']",['7.6'],['18245'],[' 丹麦语']
[' 日本'],['西浦正记'],['2018'],['128'],"['山下智久', '新垣结衣', '户田惠梨香', '比嘉爱未', '浅利阳介', '有冈大贵', '成田凌', '新木优子', '马场富美加', '新田真剑佑', '片濑梨乃', '山谷花纯', '丸山智己', '平野生成', '杉本哲太', '安藤政信', '椎名桔平']",['紧急救命 劇場版 コード・ブルー-ドクターヘリ緊急救命-'],['剧情'],['8.0'],['5525'],[' 日语']
[' 美国'],['刘山姆'],['2018'],['86'],"['克里斯蒂安·史莱特', '凡妮莎·威廉斯', '比利·布朗', '克里斯汀·鲍尔', '吉迪恩·埃默里', '连姆·麦肯泰尔', '塔拉·斯特朗', '大卫·博特', '特雷弗·德瓦', '戴夫·芬诺伊', '格雷戈·格伦伯格', 'C·托马斯·豪威尔', '茜丝·琼斯', '娜塔莉·兰德', '马修·默瑟', '朱莉·内桑森', '吉姆·皮里', '丹妮亚·拉米雷兹', '詹姆斯·乌尔班尼亚克']",['自杀小队：严厉惩罚 Suicide Squad: Hell to Pay'],"['动作', '动画']",['7.4'],['9830'],[' 英语']
[' 美国'],['保罗·达诺'],['2018'],['105'],"['杰克·吉伦哈尔', '凯瑞·穆里根', '比尔·坎普', '艾德·奥克森博尔德', '佐伊·玛格丽特·科莱蒂', '凯特·琼斯', '莫莉·密里根', '布莱恩·梅', '莱西·阿纳斯塔西娅', '达里尔·考克斯', '莎拉·摩尔', '特拉维斯·W·布鲁耶']",['狂野生活 Wildlife'],['剧情'],['7.2'],['6582'],[' 英语']
[' 中国大陆'],['陈翔'],['2018'],['96'],"['应宝林', '闰土', '毛台', '蘑菇头', '吴妈', '猪小明']",['陈翔六点半之铁头无敌'],"['剧情', '喜剧', '动作']",['6.1'],['8878'],[' 汉语普通话']
[' 中国大陆'],"['李欣', '李洋']",['2018'],['98'],"['张若昀', '马思纯', '李现', '刘敏涛', '姜超', '李霄云', '陈芋米', '安笑歌', '吴宥萱']",['奇葩朵朵'],"['喜剧', '爱情']",['4.2'],['8453'],[' 汉语普通话']
[' 法国'],['米夏埃尔·艾斯'],['2018'],['107'],"['文森特·拉科斯特', '斯塔西·马汀', '欧菲莉亚·科尔布', '玛丽安娜·巴斯莱', '乔纳森·科恩']",['阿曼达 Amanda'],['剧情'],['7.3'],['551'],[' 法语']
[' 香港'],['陈咏燊'],['2018'],['92'],"['吴镇宇', '潘灿良', '黄德斌', '胡子彤', '胡定欣', '骆振伟', '余香凝', '庄思敏', '岑珈其', '黄天颐', '柳俊江', '梁天尺', '龙文康', '李赏', '吴凤鸣']",['逆流大叔'],['剧情'],['6.9'],['2804'],[' 粤语']
[' 中国大陆'],['刘仪伟'],['2018'],['99'],"['小沈阳', '陈意涵', '吴樾', '连凯', '罗海琼', '李易祥', '朱云峰', '刘仪伟']",['我说的都是真的'],"['喜剧', '动作', '悬疑']",['4.8'],['7388'],[' 汉语普通话']
[' 中国大陆'],['马小刚'],['2018'],['70'],"['韩朴俊', '朱颜曼滋', '李心敏', '何索', '韩秋池', '红花', '尹航', '刘鹏', '荆民强', '穆梦娇', '吴雨珏']",['罪途1之死亡列车'],"['剧情', '悬疑', '犯罪']",['6.8'],['12754'],[' 汉语普通话']
[' 韩国'],['李宰圭'],['2018'],['115'],"['柳海真', '赵震雄', '李瑞镇', '廉晶雅', '金智秀', '宋昰昀', '尹敬浩', '智友']",['完美的他人 완벽한타인'],"['剧情', '喜剧']",['7.4'],['11805'],[' 韩语']
[' 中国大陆'],['萧锋'],['2018'],['132'],"['刘烨', '布鲁斯·威利斯', '宋承宪', '陈伟霆', '范伟', '马苏', '车永莉', '吴刚', '冯远征', '张钧甯', '耿乐', '谢霆锋', '范冰冰', '陈道明', '艾德里安·布洛迪', '雷佳', '涩谷天马', '张帆', '任达华', '吕良伟', '胡兵', '黄海冰', '拉莫·威利斯', '刘晓庆', '曹可凡', '黄圣依', '钟镇涛', '爱新觉罗·启星', '汪东城']",['大轰炸'],"['动作', '战争']",['2.7'],['8772'],[' 汉语普通话 / 英语']
[' 美国 / 加拿大'],['亚当·罗比特尔'],['2018'],['103'],"['林·沙烨', '雷·沃纳尔', '安格斯·桑普森', '柯克·埃斯沃多', '凯特琳·杰拉德', '史宾塞·洛克', '乔什·斯图沃特', '特莎·费勒', '阿勒奎·里德', '艾娃·寇克尔', '皮尔斯·波普', '布鲁斯·戴维森', '哈维尔·博泰特', '马库斯·亨德森', '阿曼达·亚罗斯']",['潜伏4：锁命亡灵 Insidious: The Last Key'],"['惊悚', '恐怖']",['6.1'],['11695'],[' 英语']
[' 美国'],['小乔治·提尔曼'],['2018'],['133'],"['阿曼德拉·斯坦伯格 ', '雷吉娜·赫尔', '罗素·霍恩斯比', '安东尼·麦凯', 'K·J·阿帕', '伊萨·雷', '科曼', '阿尔吉·史密斯', '塞布丽娜·卡彭特', '多米尼克·菲什巴克', '拉马尔·约翰逊', '梅根·劳利斯']",['你给的仇恨 The Hate U Give'],"['剧情', '犯罪']",['7.8'],['6657'],[' 英语']
