,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
34,[' 日本'],"['静野孔文', '濑下宽之']",['2018'],['101'],"['宫野真守', '梶裕贵', '中井和哉', '樱井孝宏', '杉田智和', '三宅健太', '花泽香菜', '诹访部顺一', '小泽亚李', '山路和弘', '堀内贤雄']",['哥斯拉：决战之都 GODZILLA 決戦機動増殖都市'],"['动作', '科幻', '动画']",['6.7'],['4317'],[' 日语']
30,[' 日本'],['堤幸彦'],['2018'],['120'],"['筱原凉子', '西岛秀俊', '坂口健太郎', '川荣李奈', '田中泯', '松坂庆子', '稻垣来泉']",['沉睡的人鱼之家 人魚の眠る家'],['剧情'],['6.8'],['1441'],[' 日语']
6,[' 日本'],['牛岛新一郎'],['2018'],['108'],"['高杉真宙', 'Lynn', '藤井雪代', '内田雄马', '福岛润', '田中敦子', '三木真一郎']",['我想吃掉你的胰脏 君の膵臓をたべたい'],"['爱情', '动画']",['6.9'],['35471'],[' 日语']
9,[' 日本'],"['冈田麿里', '筱原俊哉']",['2018'],['115'],"['石见舞菜香', '入野自由', '樱井优辉', '茅野爱衣', '梶裕贵', '细谷佳正', '佐藤利奈', '日笠阳子', '泽城美雪', '杉田智和', '久野美咲', '平田广明', '徐斌', '栗本有规', '宍户准之介', '岩川泰千', '岩崎博', '河本启佑', '咲野俊介', '伊东美弥子', '浅野真由美', '莲岳大', '内田夕夜', '前田爱', '松川央树', '岩崎谅太', '本桥大辅', '水中雅章', '柳田淳一', '川上晃太', '佐佐健太', '岛袋美由利', '矢野奖吾', '笠间淳', '藤间隼', '绵贯龙之介']",['朝花夕誓 さよならの朝に約束の花をかざろう'],"['动画', '奇幻']",['6.9'],['31506'],[' 日语']
32,[' 日本'],['原田真人'],['2018'],['123'],"['木村拓哉', '二宫和也', '吉高由里子', '松重丰', '大仓孝二', '平岳大', '八岛智人', '矢岛健一', '音尾琢真', '木村绿子', '芦名星', '山崎纮菜', '山崎努']",['检察方的罪人 検察側の罪人'],"['剧情', '悬疑', '犯罪']",['7.0'],['7216'],[' 日语']
8,[' 日本'],['长崎健司'],['2018'],['96'],"['山下大辉', '三宅健太', '志田未来', '生濑胜久', '冈本信彦', '佐仓绫音', '石川界人', '梶裕贵', '增田俊树', '广桥凉', '畠中祐', '井上麻里奈', '真堂圭', '古岛清孝', '奈良彻', '西田雅一', '细谷佳正', '喜多村英梨', '悠木碧', '名塚佳织', '小山力也', '小形满', '木村良平', '大悟', '饭田利信', '佐藤健辅', '富樫美铃', '福西胜也', '小林爱']",['我的英雄学院：两位英雄 僕のヒーローアカデミア THE MOVIE ～2人の英雄～'],"['动作', '动画']",['7.2'],['22570'],[' 日语']
16,[' 日本'],['武内英树'],['2018'],['109'],"['绫濑遥', '坂口健太郎', '本田翼', '北村一辉', '中尾明庆', '石桥杏奈', '柄本明', '加藤刚']",['今夜在浪漫剧场 今夜、ロマンス劇場で'],"['爱情', '奇幻']",['7.2'],['20169'],[' 日语']
15,[' 日本'],['关根光才'],['2018'],['109'],"['趣里', '菅田将晖', '仲里依纱', '田中哲司', '西田尚美', '松重丰', '石桥静河', '织田梨沙']",['只有爱能让我生存 生きてるだけで、愛。'],['爱情'],['7.3'],['2725'],[' 日语']
33,[' 日本'],"['植田泰史', '中村亮太']",['2018'],['106'],"['三浦春马', '白石麻衣']",['世界奇妙物语 2018年春季特别篇 世にも奇妙な物語 ’18春の特別編'],"['科幻', '悬疑', '惊悚', '恐怖']",['7.3'],['8096'],[' 日语']
25,[' 日本'],['三木康一郎'],['2018'],['118'],"['福士苍汰', '高畑充希', '广濑爱丽丝', '大野拓朗', '山本凉介', '前野朋哉', '竹内结子']",['旅猫日记 旅猫リポート'],['剧情'],['7.4'],['2817'],[' 日语']
