,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
13,[' 中国大陆 / 美国'],"['赵锐', '克里斯托弗·詹金斯']",['2018'],['90'],"['赵路', '武皓栋', '殷筱瑜', '金蝉妃', '童自荣', '吴磊', '赵乾景', '李传缨', '姜玉玲', '曹真', '王肖兵']",['妈妈咪鸭'],"['喜剧', '动画', '家庭', '冒险']",['7.1'],['16831'],[' 汉语普通话 / 英语']
10,[' 日本'],['长崎健司'],['2018'],['96'],"['山下大辉', '三宅健太', '志田未来', '生濑胜久', '冈本信彦', '佐仓绫音', '石川界人', '梶裕贵', '增田俊树', '广桥凉', '畠中祐', '井上麻里奈', '真堂圭', '古岛清孝', '奈良彻', '西田雅一', '细谷佳正', '喜多村英梨', '悠木碧', '名塚佳织', '小山力也', '小形满', '木村良平', '大悟', '饭田利信', '佐藤健辅', '富樫美铃', '福西胜也', '小林爱']",['我的英雄学院：两位英雄 僕のヒーローアカデミア THE MOVIE ～2人の英雄～'],"['动作', '动画']",['7.2'],['22570'],[' 日语']
18,[' 美国'],['刘山姆'],['2018'],['86'],"['克里斯蒂安·史莱特', '凡妮莎·威廉斯', '比利·布朗', '克里斯汀·鲍尔', '吉迪恩·埃默里', '连姆·麦肯泰尔', '塔拉·斯特朗', '大卫·博特', '特雷弗·德瓦', '戴夫·芬诺伊', '格雷戈·格伦伯格', 'C·托马斯·豪威尔', '茜丝·琼斯', '娜塔莉·兰德', '马修·默瑟', '朱莉·内桑森', '吉姆·皮里', '丹妮亚·拉米雷兹', '詹姆斯·乌尔班尼亚克']",['自杀小队：严厉惩罚 Suicide Squad: Hell to Pay'],"['动作', '动画']",['7.4'],['9830'],[' 英语']
14,[' 美国'],"['杰克·卡斯托雷纳', '刘山姆']",['2018'],['81'],"['杰瑞·奥康奈尔', '丽贝卡·罗梅恩', '雷恩·威尔森', '罗莎里奥·道森', '内森·菲利安', '克里斯托弗·戈勒姆', '马特·兰特尔', '谢默·摩尔', '耐姆比·耐姆比', '杰森·奥玛拉', '乔纳森·亚当斯', '洛奇·卡罗尔', '特雷弗·德瓦', '保罗·伊丁', '帕特里克·法比安', '詹妮弗·黑尔', '马克斯·迈特尔曼', '托克斯·奥拉贡多耶']",['超人之死 The Death of Superman'],"['动作', '科幻', '动画']",['7.4'],['8490'],[' 英语']
11,[' 美国'],"['凯瑞·柯克帕特里克', '杰森·雷西格']",['2018'],['96'],"['查宁·塔图姆', '詹姆斯·柯登', '赞达亚', '勒布朗·詹姆斯', '科曼', '吉娜·罗德里格兹', '丹尼·德维托', '吉米·塔特罗', '雅拉·沙希迪', '伊利·亨利']",['雪怪大冒险 Smallfoot'],"['喜剧', '动画', '歌舞', '冒险']",['7.4'],['17176'],[' 英语']
4,[' 日本'],['长峰达也'],['2018'],['100'],"['野泽雅子', '堀川亮', '中尾隆圣', '岛田敏', '古川登志夫', '久川绫', '山寺宏一', '森田成一', '水树奈奈', '杉田智和', '宝龟克寿']",['龙珠超：布罗利 ドラゴンボール超 ブロリー'],"['动作', '动画', '奇幻', '冒险']",['7.4'],['24393'],[' 日语']
2,[' 美国'],['布拉德·伯德'],['2018'],['118'],"['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯', '约翰·拉岑贝格', '金伯利·阿代尔·克拉克', '托亚·特纳']",['超人总动员2 Incredibles 2'],"['喜剧', '动作', '动画', '冒险']",['7.9'],['177728'],[' 英语']
16,[' 美国'],['马克·福斯特'],['2018'],['104'],"['伊万·麦克格雷格', '海莉·阿特维尔', '勃朗特·卡迈克尔', '马克·加蒂斯', '奥利弗·福德·戴维斯', '阿德里安·斯卡伯勒', '罗杰·阿什顿-格里菲斯', '阿曼达·劳伦斯', '凯蒂·卡迈克尔', '特里斯坦·斯特罗克', '保罗·查希迪', '迈克尔·吉恩', '舒雅德·法瑞斯', '马特·贝里', '西蒙·法纳比', '麦肯锡·克鲁克', '吉姆·库宁斯', '布拉德·加内特', '尼克·穆罕默德', '彼得·卡帕尔迪', '苏菲·奥康内多', '托比·琼斯', '李·阿斯奎斯-柯', '罗伊·贝克', '金塔雷·贝尼奥拉维特', '贝恩·科拉科', '托马斯·派登', '库姆德·潘特', '理查德·谢尔曼', '彼得·辛格', '卡罗尔·斯蒂尔', '艾薇·维']",['克里斯托弗·罗宾 Christopher Robin'],"['喜剧', '动画', '冒险']",['8.0'],['21654'],[' 英语']
7,[' 日本'],"['大森贵弘', '伊藤秀树']",['2018'],['104'],"['神谷浩史', '井上和彦', '高良健吾', '小林沙苗', '泽城美雪', '石田彰', '藤村步', '村濑步', '伊藤美纪', '伊藤荣次', '堀江一真', '佐藤利奈', '木村良平', '菅沼久义', '雪野五月', '川澄绫子', '樋口晓里', '冈村明美', '黑田崇矢', '长岛雄一', '松山鹰志', '下崎纮史', '知桐京子', '岛本须美']",['夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～'],"['剧情', '动画', '奇幻']",['8.0'],['70119'],[' 日语']
1,[' 美国'],"['菲尔·约翰斯顿', '瑞奇·摩尔']",['2018'],['112'],"['约翰·C·赖利', '萨拉·西尔弗曼', '盖尔·加朵', '塔拉吉·P·汉森', '杰克·麦克布瑞尔', '简·林奇', '艾伦·图代克', '阿尔弗雷德·莫里纳', '艾德·奥尼尔', '肖恩·吉布朗尼', '弗卢拉·博格', '蒂莫西·西蒙斯', '黄阿丽', '韩秘书·布雷克', '葛洛泽尔·格林', '瑞贝卡·薇索基', '山姆·理查森', '雅布其·杨-怀特', '莫里斯·拉马奇', '梅丽莎·维拉斯诺', '凯蒂·洛斯', '贾米·埃曼', '霍拉提奥·桑斯', '亚历克斯·莫法特', '琼·斯奎布', '德拉·萨巴', '菲尔·约翰斯顿', '约翰·迪·玛吉欧', '瑞奇·摩尔', '科琳·巴林杰', '达尼·费尔南德斯', '蒂芙妮·赫雷拉', '阿娜·奥缇兹', '迪安娜·阿格隆', '杰森·曼兹沃克斯', '雷蒙德·S·佩尔西', '伏霞', '罗杰·克莱格·史密斯', '蒂姆·艾伦', '布拉德·加内特', '安东尼·丹尼尔斯', '科里·伯顿', '范·迪塞尔', '维韦卡·波林', '迈克·吉亚奇诺', '凯文·迪特斯', '尼可·斯彻金格', '丹·雷诺斯', '艾琳·贝达', '克里斯汀·贝尔', '裘蒂·班森', '奥丽伊·卡瓦洛', '詹妮弗·黑尔', '凯特·希金斯', '琳达·拉金', '凯莉·麦克唐纳', '伊迪娜·门泽尔', '曼迪·摩尔', '佩吉·奥哈拉', '帕米拉·里本', '阿尼卡·诺尼·罗斯', '温明娜', '珍妮卡·贝尔格雷', '比尔·哈德尔']",['无敌破坏王2：大闹互联网 Ralph Breaks the Internet'],"['喜剧', '动画', '奇幻', '冒险']",['8.1'],['231189'],[' 英语']
6,[' 美国 / 德国'],['韦斯·安德森'],['2018'],['97'],"['布莱恩·科兰斯顿', '爱德华·诺顿', '科宇·兰金', '列维·施瑞博尔', '比尔·默瑞', '杰夫·高布伦', '鲍勃·巴拉班', '野村训市', '格蕾塔·葛韦格', '斯嘉丽·约翰逊', '蒂尔达·斯文顿', '弗兰西斯·麦克多蒙德', '罗曼·科波拉', '卡拉·海沃德', '高山明', '伊藤晃', '哈威·凯特尔', 'F·默里·亚伯拉罕', '小野洋子', '渡边谦', '夏木真理', '费舍·史蒂芬斯', '村上虹郎', '考特尼·万斯', '安杰丽卡·休斯顿', '野田洋次郎', '山田孝之', '秋元梢', '松田翔太', '松田龙平', '池田依来沙', '杰克·莱恩', '育乃介', '儿玉太智', '卡琳·奥克索', '弗兰克·伍德', '爱德华·博奇']",['犬之岛 Isle of Dogs'],"['喜剧', '动画', '冒险']",['8.3'],['165439'],[' 英语 / 日语']
20,[' 日本'],['山田尚子'],['2018'],['90'],"['种崎敦美', '东山奈央', '本田望结', '藤村鼓乃美', '山冈百合', '杉浦诗织', '黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '桑岛法子', '中村悠一', '樱井孝宏']",['利兹与青鸟 リズと青い鳥'],"['剧情', '动画', '音乐']",['8.6'],['12379'],[' 日语']
0,[' 美国'],"['鲍勃·佩尔西凯蒂', '彼得·拉姆齐', '罗德尼·罗斯曼']",['2018'],['116'],"['沙梅克·摩尔', '杰克·约翰逊', '海莉·斯坦菲尔德', '马赫沙拉·阿里', '布莱恩·泰里·亨利', '莉莉·汤姆林', '劳伦·维勒斯', '佐伊·克罗维兹', '约翰·木兰尼', '金可·格伦', '尼古拉斯·凯奇', '凯瑟琳·哈恩', '列维·施瑞博尔', '克里斯·派恩', '娜塔丽·莫瑞丝', '奥斯卡·伊萨克', '格里塔·李', '斯坦·李', '乔玛·塔科内', '华金·科西奥', '蕾克·贝尔', '梅勒妮·海恩斯', '尼克·杰恩', '穆尼卜·拉赫曼', '卡洛斯·萨拉戈萨', '黛西·罗斯·布莱内斯', '里夫·霍顿', '哈里森·奈特', '莱克斯·朗', '凯特琳·麦肯纳-威尔金森', '斯科特·门维尔', '克里斯托弗·米勒', '德维卡·帕利赫', '柯特妮·佩尔顿', '克里斯蒂·法瑞斯', '杰奎琳·皮诺尔', '贾斯汀·沉卡罗', '梅利莎·斯特姆']",['蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse'],"['动作', '科幻', '动画', '冒险']",['8.7'],['345048'],[' 英语 / 西班牙语']
